,ADM,DIFF_ACT_G,DIFF_ACT_P,PEAK_ACT,PEAK_G,PEAK_P,RMSE_G,RMSE_P
0,Adamdighi,-9.0,-14.0,2020-07-21,2020-07-30,2020-08-04,0.04312672705127829,0.05706975089962663
1,Bakshiganj,2.0,-2.0,2020-07-27,2020-07-25,2020-07-29,0.03787993729974573,0.060957191611237874
2,Belkuchi,-6.0,-8.0,2020-07-21,2020-07-27,2020-07-29,0.04148502591557943,0.04667419423341877
3,Bhurungamari,1.0,-2.0,2020-07-21,2020-07-20,2020-07-23,0.023470094927730237,0.037406864694878326
4,Bogra Sadar,-4.0,-8.0,2020-07-25,2020-07-29,2020-08-02,0.019376520511764295,0.030005455681257433
5,Char Rajibpur,-5.0,-8.0,2020-07-21,2020-07-26,2020-07-29,0.03477911913847203,0.03989533620631432
6,Chauhali,-8.0,-8.0,2020-07-21,2020-07-29,2020-07-29,0.03381268804684147,0.034792177916434575
7,Chilmari,-9.0,-10.0,2020-07-15,2020-07-24,2020-07-25,0.025089339206034775,0.027556890366410635
8,Dewanganj,-9.0,-12.0,2020-07-15,2020-07-24,2020-07-27,0.03937734824753731,0.05779331973936806
9,Dhunat,3.0,-1.0,2020-08-06,2020-08-03,2020-08-07,0.01853753267786794,0.039052615273316854
10,Fulchhari,3.0,1.0,2020-07-27,2020-07-24,2020-07-26,0.03894945297792839,0.04482993160207392
11,Gabtali,4.0,0.0,2020-08-06,2020-08-02,2020-08-06,0.03265230462159479,0.04401085997881804
12,Gaibandha Sadar,2.0,-3.0,2020-07-27,2020-07-25,2020-07-30,0.027310196662200432,0.04542423441888359
13,Gobindaganj,-3.0,-8.0,2020-07-25,2020-07-28,2020-08-02,0.018818931644281976,0.04524761140604494
14,Islampur,4.0,1.0,2020-07-27,2020-07-23,2020-07-26,0.04329883545479707,0.060561102717426145
15,Jamalpur Sadar,-2.0,-7.0,2020-07-27,2020-07-29,2020-08-03,0.04201652098382737,0.0645033994041439
16,Kahaloo,6.0,2.0,2020-08-06,2020-07-31,2020-08-04,0.05020832051034511,0.07026979081684137
17,Kamarkhanda,-1.0,-7.0,2020-07-27,2020-07-28,2020-08-03,0.04814753284402967,0.06784341687045811
18,Kazipur,2.0,-2.0,2020-07-27,2020-07-25,2020-07-29,0.025795530680102038,0.03321601744226033
19,Kurigram Sadar,3.0,5.0,2020-07-21,2020-07-18,2020-07-16,0.026407914385222563,0.03536790281366495
20,Madarganj,1.0,-1.0,2020-07-21,2020-07-20,2020-07-22,0.07425000437745183,0.11165371345325868
21,Melandaha,5.0,3.0,2020-07-27,2020-07-22,2020-07-24,0.07151586951726037,0.09743385563379849
22,Nageshwari,4.0,5.0,2020-07-21,2020-07-17,2020-07-16,0.03603223519122712,0.052995383208989194
23,Nandigram,-10.0,-15.0,2020-07-21,2020-07-31,2020-08-05,0.05131635394340912,0.06717477407771931
24,Palashbari,3.0,-2.0,2020-07-27,2020-07-24,2020-07-29,0.025998644759887144,0.048503493068779525
25,Phulbari,-5.0,-5.0,2020-07-13,2020-07-18,2020-07-18,0.02386661909570565,0.042315462001586514
26,Rajarhat,0.0,-3.0,2020-07-21,2020-07-21,2020-07-24,0.03187276190622936,0.04508008156163563
27,Raumari,-6.0,-7.0,2020-07-15,2020-07-21,2020-07-22,0.04997809249975061,0.07006171223182693
28,Royganj,-10.0,-15.0,2020-07-21,2020-07-31,2020-08-05,0.036848598077343066,0.04830878969038792
29,Sadullapur,3.0,-2.0,2020-07-27,2020-07-24,2020-07-29,0.0257942533288506,0.054831615493105626
30,Saghatta,0.0,-5.0,2020-07-27,2020-07-27,2020-08-01,0.02778743514170359,0.048644069662903
31,Sariakandi,-2.0,-6.0,2020-07-27,2020-07-29,2020-08-02,0.018384615871858013,0.026464282909352876
32,Sarishabari,1.0,-3.0,2020-07-27,2020-07-26,2020-07-30,0.03849516311244427,0.05362249898101618
33,Shahjadpur,-8.0,-7.0,2020-07-21,2020-07-29,2020-07-28,0.06195022741814718,0.06103332218551861
34,Shajahanpur,9.0,4.0,2020-08-06,2020-07-28,2020-08-02,0.025154715704467073,0.0440803678918195
35,Sherpur,-1.0,-6.0,2020-07-27,2020-07-28,2020-08-02,0.03091696364037469,0.06605806656330847
36,Shibganj,-4.0,-9.0,2020-07-25,2020-07-29,2020-08-03,0.02466578346176934,0.053594045284465354
37,Sirajganj Sadar,-11.0,-14.0,2020-07-21,2020-08-01,2020-08-04,0.01523007218965319,0.015853469155074337
38,Sonatola,-3.0,-8.0,2020-07-27,2020-07-30,2020-08-04,0.0204977161845697,0.03693775291382177
39,Sundarganj,0.0,-5.0,2020-07-21,2020-07-21,2020-07-26,0.021907418941909968,0.04841668239941349
40,Tarash,-6.0,-6.0,2020-07-21,2020-07-27,2020-07-27,0.060150419583644074,0.06758409291544405
41,Ulipur,1.0,-1.0,2020-07-21,2020-07-20,2020-07-22,0.02927724467744415,0.048818093874621805
42,Ullah Para,-8.0,-9.0,2020-07-21,2020-07-29,2020-07-30,0.06721748157072507,0.0712385964791932
43,Dhupchanchia,6.0,3.0,2020-08-06,2020-07-31,2020-08-03,0.048708698378915255,0.07115811942603789
